Time,Force_X,Force_Y,Ref_X,Force_X_Trajectory_1,Force_Y_Trajectory_1,Ref_X_Trajectory_1,Trajectory,Force_X_Negative,Force_Y_Positive
36.84,0.08363464368728592,0.01638957837492918,599.9689533312367,0.08363464368728592,0.01638957837492918,599.9689533312367,1.0,,0.01638957837492918
36.86,0.08350255303535788,0.01828315273146329,599.9662556834026,0.08350255303535788,0.01828315273146329,599.9662556834026,1.0,,0.01828315273146329
36.88,0.08374475538010157,0.020492026067283235,599.9633699896177,0.08374475538010157,0.020492026067283235,599.9633699896177,1.0,,0.020492026067283235
36.9,0.08415569255055404,0.022219075066195162,599.9602863552216,0.08415569255055404,0.022219075066195162,599.9602863552216,1.0,,0.022219075066195162
36.92,0.08453602694820717,0.022933598329620854,599.9569945372147,0.08453602694820717,0.022933598329620854,599.9569945372147,1.0,,0.022933598329620854
36.94,0.0848602966660665,0.022489003264821224,599.9552672617842,0.0848602966660665,0.022489003264821224,599.9552672617842,1.0,,0.022489003264821224
36.96,0.08535176502767483,0.02096094690474768,599.9516431869143,0.08535176502767483,0.02096094690474768,599.9516431869143,1.0,,0.02096094690474768
36.98,0.0863535218413046,0.018688334192023565,599.9436774756433,0.0863535218413046,0.018688334192023565,599.9436774756433,1.0,,0.018688334192023565
37.0,0.08795062213476738,0.016521699346669538,599.9415280641774,0.08795062213476738,0.016521699346669538,599.9415280641774,1.0,,0.016521699346669538
37.02,0.08983778275118902,0.015438074021000222,599.937029101561,0.08983778275118902,0.015438074021000222,599.937029101561,1.0,,0.015438074021000222
37.04,0.09156751770587547,0.01597984885177197,599.934676438361,0.09156751770587547,0.01597984885177197,599.934676438361,1.0,,0.01597984885177197
37.06,0.09275850308978129,0.018250122235914778,599.9245404714899,0.09275850308978129,0.018250122235914778,599.9245404714899,1.0,,0.018250122235914778
37.08,0.09306644788352761,0.021901331338030263,599.9218168850572,0.09306644788352761,0.021901331338030263,599.9218168850572,1.0,,0.021901331338030263
37.1,0.09223947493488542,0.02627910100650289,599.9161302792796,0.09223947493488542,0.02627910100650289,599.9161302792796,1.0,,0.02627910100650289
37.12,0.09031268519665689,0.0307493816959925,599.9131637543139,0.09031268519665689,0.0307493816959925,599.9131637543139,1.0,,0.0307493816959925
37.14,0.08755460659695122,0.03483619821939861,599.9037497248618,0.08755460659695122,0.03483619821939861,599.9037497248618,1.0,,0.03483619821939861
37.16,0.0844119365889278,0.03796200869372505,599.8970265088018,0.0844119365889278,0.03796200869372505,599.8970265088018,1.0,,0.03796200869372505
37.18,0.0814008015878541,0.03938924678213817,599.8899277999892,0.0814008015878541,0.03938924678213817,599.8899277999892,1.0,,0.03938924678213817
37.2,0.07901800556814455,0.03875538707808482,599.886232754392,0.07901800556814455,0.03875538707808482,599.886232754392,1.0,,0.03875538707808482
37.22,0.07773652050917414,0.03673948151524539,599.8745407870167,0.07773652050917414,0.03673948151524539,599.8745407870167,1.0,,0.03673948151524539
37.24,0.07766222407774787,0.03485365654403146,599.8662198605475,0.07766222407774787,0.03485365654403146,599.8662198605475,1.0,,0.03485365654403146
37.26,0.07839266235241969,0.034299480939513786,599.8574581883026,0.07839266235241969,0.034299480939513786,599.8574581883026,1.0,,0.034299480939513786
37.28,0.07939090990837666,0.03530407573860388,599.8482383766444,0.07939090990837666,0.03530407573860388,599.8482383766444,1.0,,0.03530407573860388
37.3,0.08016348396275903,0.03721128664675913,599.838542591765,0.08016348396275903,0.03721128664675913,599.838542591765,1.0,,0.03721128664675913
37.32,0.08029410974845058,0.039177265607684524,599.8283525558751,0.08029410974845058,0.039177265607684524,599.8283525558751,1.0,,0.039177265607684524
37.34,0.07975763419478962,0.04073658430084333,599.8176495435088,0.07975763419478962,0.04073658430084333,599.8176495435088,1.0,,0.04073658430084333
37.36,0.0789637202179548,0.04200484629972562,599.8120996961444,0.0789637202179548,0.04200484629972562,599.8120996961444,1.0,,0.04200484629972562
37.38,0.07810728127668792,0.044009004973978263,599.7885207734398,0.07810728127668792,0.044009004973978263,599.7885207734398,1.0,,0.044009004973978263
37.4,0.07670207230195661,0.04777395279265118,599.7822686034493,0.07670207230195661,0.04777395279265118,599.7822686034493,1.0,,0.04777395279265118
37.42,0.07419469693724527,0.052923644902366805,599.7693173542826,0.07419469693724527,0.052923644902366805,599.7693173542826,1.0,,0.052923644902366805
37.44,0.07062626776232274,0.058027561807548554,599.7626130213761,0.07062626776232274,0.058027561807548554,599.7626130213761,1.0,,0.058027561807548554
